text,label
You are stupid,bullying
I hate you,bullying
Nobody likes you,bullying
You should disappear,bullying
You are worthless,bullying
Stop talking,bullying
Get lost,bullying
Die already,bullying
Your opinion is garbage,bullying
Everyone thinks you're insane,bullying
I don't care about your feelings,offensive
This is the worst thing ever,offensive
You are ugly,offensive
That was a dumb move,offensive
I can't stand this,offensive
This is annoying,offensive
You sound ridiculous,offensive
That idea is terrible,offensive
You're an idiot,offensive
Shut up,offensive
Have a nice day,neutral
Thank you for sharing,neutral
I appreciate your effort,neutral
Let's talk about it,neutral
Can you explain that further,neutral
This seems fine,neutral
I understand your point,neutral
That is a good question,neutral
I will review this,neutral
Please send more details,neutral
That sounds interesting,neutral
I am here to help,neutral
We can work on that,neutral
I like your perspective,neutral
This is acceptable,neutral
Thank you for your feedback,neutral
I will look into it,neutral
Let's keep this professional,neutral
I do not agree with that,neutral
I am not sure yet,neutral
This was helpful,neutral
Please clarify your statement,neutral
I need more context,neutral
We should avoid misinformation,neutral
Do you want to continue this conversation,neutral
Thanks for reaching out,neutral
